0.01035,2.72
0.02061,5.43
0.03810,10.12
0.06276,16.74
0.10290,27.49
0.15559,41.54
0.23422,62.30
0.38103,100.45
0.47364,124.27
0.58044,151.19
0.67632,175.45
0.77283,199.31
0.87402,224.42
0.99154,253.36
1.07919,274.63
1.20993,306.35
1.38021,347.11
1.60246,400.30
1.84398,457.15
2.02807,500.63
2.24488,550.88
2.45480,599.63
2.68753,653.40
2.88570,698.26
3.11890,752.30
3.35945,808.16
3.54608,850.95
3.80328,908.64
4.00315,955.71
4.22560,1006.61
4.39947,1045.09
4.64407,1100.60
4.86519,1151.56
5.09995,1203.88
5.28985,1248.72
5.54087,1305.54
5.63299,1324.96
5.90575,1388.32
6.01634,1410.72
6.40892,1501.43
7.06949,1652.58
